date,TENCENT,MEITUAN,PDD
2022-08-29,312.0972,176.2000,72.1900
2022-09-05,291.5820,179.9000,69.7600
2022-09-12,278.4751,171.9000,65.6700
2022-09-19,261.1891,160.3000,60.0500
2022-09-26,253.0210,165.6000,62.5800
2022-10-03,257.0101,172.9000,63.5600
2022-10-10,236.6848,149.0000,52.9200
2022-10-17,221.1084,141.6000,58.9700
2022-10-24,190.7155,121.8000,52.9500
2022-10-31,226.6172,149.5000,61.8900
2022-11-07,245.4228,159.6000,65.1800
2022-11-14,273.3463,160.4000,70.1500
2022-11-21,259.2896,136.6000,65.7500
2022-11-28,281.1345,168.0000,86.3400
2022-12-05,309.2479,188.5000,89.7100
2022-12-12,300.8899,175.9000,87.0300
2022-12-19,304.1191,183.2000,84.0300
2022-12-26,317.2260,174.7000,81.5500
2023-01-02,349.4000,182.7000,95.9600
2023-01-09,371.4000,171.2000,97.0000
2023-01-16,391.8000,168.1000,92.8400
2023-01-23,415.0000,174.9000,104.6800
2023-01-30,385.0000,172.8000,95.6500
2023-02-06,383.4000,148.1000,92.4500
2023-02-13,373.8000,144.2000,93.4200
2023-02-20,349.4000,134.4000,83.7200
2023-02-27,367.6000,142.3000,95.6900
2023-03-06,331.6000,127.4000,85.7300
2023-03-13,339.4000,130.4000,91.9400
2023-03-20,376.8000,140.2000,73.9600
2023-03-27,385.8000,143.5000,75.9000
2023-04-03,385.4000,133.8000,72.0300
2023-04-10,365.4000,129.5000,67.6800
2023-04-17,349.2000,137.7000,69.2300
2023-04-24,344.4000,133.0000,68.1500
2023-05-01,342.8000,135.6000,63.0600
2023-05-08,328.2000,131.8000,63.3200
2023-05-15,333.2000,128.6000,60.5300
2023-05-22,322.4000,126.0000,71.4200
2023-05-29,334.2000,121.6000,69.5400
2023-06-05,336.0000,127.1000,76.1000
2023-06-12,363.0000,138.0000,79.8700
2023-06-19,337.0000,124.7000,69.8000
2023-06-26,331.6000,122.3000,69.1400
2023-07-03,326.6000,119.1000,70.0000
2023-07-10,352.6000,132.5000,79.4900
2023-07-17,333.0000,128.2000,75.9700
2023-07-24,350.4000,142.4000,89.3500
2023-07-31,343.4000,144.0000,87.5200
2023-08-07,335.8000,137.2000,81.5500
2023-08-14,325.0000,129.9000,76.9800
2023-08-21,320.0000,132.2000,79.9100
2023-08-28,325.0000,128.5000,103.2900
2023-09-04,322.0000,125.0000,95.3400
2023-09-11,317.2000,124.3000,99.4600
2023-09-18,313.6000,120.8000,95.9300
2023-09-25,306.2000,114.6000,98.0700
2023-10-02,305.2000,108.3000,105.6400
2023-10-09,306.8000,114.6000,106.1000
2023-10-16,289.0000,107.8000,102.7800
2023-10-23,292.8000,113.0000,108.2800
2023-10-30,302.6000,111.0000,106.4200
2023-11-06,302.8000,110.7000,109.0400
2023-11-13,315.2000,107.3000,115.1500
2023-11-20,321.2000,109.1000,118.7000
2023-11-27,319.0000,87.9000,145.2700
2023-12-04,305.6000,86.6500,138.9600
2023-12-11,314.4000,84.9500,148.3500
2023-12-18,274.0000,76.6000,144.4800
2023-12-25,293.6000,81.9000,146.3100
2024-01-01,292.2000,77.7500,146.5300
2024-01-08,288.4000,75.2500,148.6300
2024-01-15,271.2000,68.6500,143.6400
2024-01-22,282.8000,66.7000,141.7700
2024-01-29,279.4000,63.2500,124.5900
2024-02-05,287.2000,67.7000,127.4800
2024-02-12,291.8000,74.6500,135.2600
2024-02-19,290.8000,81.5000,127.6900
2024-02-26,277.4000,88.4000,126.8500
2024-03-04,270.0000,84.7000,110.3400
2024-03-11,283.8000,89.4000,123.7400
2024-03-18,288.8000,88.2500,122.9900
2024-03-25,303.8000,96.8000,116.2500
2024-04-01,310.0000,100.4000,117.8700
2024-04-08,309.6000,102.1000,115.5000
2024-04-15,303.8000,95.3000,113.4900
2024-04-22,348.4000,115.6000,129.3100
2024-04-29,364.4000,119.7000,140.1800
2024-05-06,371.0000,118.6000,136.2700
2024-05-13,395.0000,125.0000,146.1900
2024-05-20,377.0000,116.3000,157.5700
2024-05-27,359.8000,105.1000,149.7800
2024-06-03,374.8000,110.4000,143.9000
2024-06-10,379.8000,114.7000,148.9800
2024-06-17,381.4000,116.2000,143.8600
2024-06-24,372.4000,111.1000,132.9500
2024-07-01,379.8000,119.1000,136.1900
2024-07-08,397.0000,121.8000,142.4200
2024-07-15,364.0000,117.5000,133.0400
2024-07-22,354.4000,107.6000,130.8000
2024-07-29,358.2000,104.0000,127.4100
2024-08-05,370.0000,106.2000,138.0400
2024-08-12,372.6000,107.7000,149.2900
2024-08-19,375.6000,107.5000,139.8700
2024-08-26,382.0000,118.2000,96.1100
2024-09-02,373.2000,118.9000,93.3000
2024-09-09,374.8000,123.0000,94.9900
2024-09-16,388.6000,135.9000,99.9000
2024-09-23,437.8000,164.6000,135.3800
2024-09-30,477.6000,213.4000,154.2700
2024-10-07,438.8000,193.7000,144.7600
2024-10-14,430.8000,185.4000,124.6200
2024-10-21,421.0000,184.9000,122.4700
2024-10-28,419.2000,187.6000,120.5600
2024-11-04,420.8000,191.8000,117.8100
2024-11-11,401.0000,169.6000,114.0000
2024-11-18,400.6000,167.1000,100.0700
2024-11-25,398.0000,168.7000,96.5600
2024-12-02,412.6000,162.4000,99.8900
2024-12-09,409.8000,162.6000,102.2700
2024-12-16,426.4000,158.6000,99.5100
2024-12-23,417.4000,154.7000,97.4500
2024-12-30,414.2000,153.7000,96.8200
2025-01-06,369.6000,140.1000,94.6800
2025-01-13,379.8000,147.8000,105.5700
2025-01-20,390.6000,150.0000,111.3400
2025-01-27,402.0000,148.6000,111.9100
2025-02-03,428.2000,154.1000,114.2700
2025-02-10,474.8000,169.9000,124.1600
2025-02-17,517.0000,162.9000,131.3400
2025-02-24,478.6000,162.0000,113.6900
2025-03-03,533.5000,183.5000,119.9200
2025-03-10,521.5000,173.4000,122.5400
2025-03-17,511.5000,167.6000,126.6400
2025-03-24,509.5000,160.1000,120.4500
2025-03-31,497.8000,157.9000,104.2100
2025-04-07,443.4000,143.5000,90.5000
2025-04-14,458.0000,136.5000,93.6900
2025-04-21,478.2000,127.6000,104.0100
2025-04-28,487.8000,132.5000,110.9200
2025-05-05,494.6000,141.0000,109.6500
2025-05-12,508.0000,131.4000,117.6100
2025-05-19,518.0000,136.9000,119.2400
2025-05-26,498.2000,138.0000,96.5100
2025-06-02,515.0000,141.7000,100.6000
2025-06-09,510.0000,138.2000,100.5800
2025-06-16,505.5000,128.6000,101.2100
2025-06-23,513.0000,129.4000,105.1400
2025-06-30,496.8000,120.8000,103.5900
2025-07-07,496.6000,120.0000,104.9100
2025-07-14,519.0000,127.3000,109.0000
2025-07-21,550.5000,130.1000,118.4500
2025-07-28,535.0000,122.2000,110.0600
2025-08-04,561.0000,120.8000,114.2600
2025-08-11,592.0000,121.7000,118.9500
2025-08-18,600.0000,118.4000,127.1100
2025-08-25,596.5000,102.7000,120.2200
2025-09-01,605.5000,103.0000,124.6800
2025-09-08,643.5000,96.5500,125.4400
2025-09-15,642.5000,106.3000,129.4700
2025-09-22,644.0000,100.6000,129.9900
2025-09-29,673.5000,106.1000,134.2500
2025-10-06,651.5000,101.7000,124.2700
2025-10-13,608.0000,94.5000,128.4800
2025-10-20,637.5000,100.6000,133.9600
2025-10-27,629.0000,102.0000,134.8700
2025-11-03,634.0000,102.0000,135.7800
2025-11-10,641.0000,100.0000,130.9500
2025-11-17,610.0000,95.5500,113.2400
2025-11-24,611.5000,102.5000,116.0800
2025-12-01,610.0000,99.0500,117.6200
2025-12-08,616.0000,102.4000,111.9600
2025-12-15,614.0000,102.7000,109.5100
2025-12-22,602.5000,103.1000,115.0100
2025-12-29,623.0000,104.6000,115.7500
2026-01-05,611.0000,98.5000,120.5500
2026-01-12,617.5000,100.0000,106.7600
2026-01-19,595.0000,97.5500,106.3800
2026-01-26,606.0000,97.2000,101.0500
2026-02-02,547.5000,91.4000,105.2300
2026-02-09,532.0000,82.1500,100.2800
2026-02-16,522.0000,80.7500,104.9400
2026-02-23,518.0000,81.1500,103.7300
2026-03-02,519.0000,76.8500,101.9700
2026-03-09,547.5000,75.9500,102.6500
2026-03-16,508.0000,79.1500,96.1900
2026-03-23,493.4000,85.9000,99.8100
2026-03-30,489.2000,80.2500,100.8700
2026-04-06,504.5000,87.6000,100.1700
2026-04-13,510.5000,86.5000,104.7900
2026-04-20,493.4000,82.4500,98.0300
2026-04-30,467.8000,83.2500,98.6800
